59.4264285714,19.1428571429,11.7857142857,1.7142857143,5.6428571429
58.7964285714,17.9285714286,11.5,1.5714285714,4.8571428571
58.665,17.5714285714,10.3571428571,2,5.2142857143
59.9914285714,18,11.2142857143,2.2142857143,4.5714285714
59.2421428571,17.3571428571,9.6428571429,1.5714285714,6.1428571429
59.585,14.8571428571,8.5714285714,1.3571428571,4.9285714286
64.275,21.7142857143,13.2857142857,1.5714285714,6.8571428571
57.5571428571,20.2142857143,10.9285714286,1.5714285714,7.7142857143
63.0171428571,18.5,12.0714285714,1.3571428571,5.0714285714
56.5828571429,18,11.2857142857,0.9285714286,5.7857142857
66.08,19.6428571429,11.7857142857,1.2857142857,6.5714285714
61.6492857143,19.9285714286,9.5,0.9285714286,9.5
56.3907142857,17.1428571429,8.5714285714,1.7142857143,6.8571428571
63.6742857143,20.7142857143,11.3571428571,1.5,7.8571428571
55.3364285714,14.2857142857,7.6428571429,1,5.6428571429
58.21,17.8,11.3333333333,1.5333333333,4.9333333333
58.6246666667,17.8,10.4666666667,2,5.3333333333
59.9426666667,18.0666666667,11.2,2.0666666667,4.8
53.9693333333,17.9333333333,10.6666666667,1.2666666667,6
60.5506666667,15.0666666667,8.8666666667,1.3333333333,4.8666666667
51.588,15.6666666667,6.8666666667,1.5333333333,7.2666666667
61.7073333333,19.1333333333,11.0666666667,1.6,6.4666666667
62.5646666667,17.6,11.6666666667,1.4666666667,4.4666666667
61.0366666667,18.1333333333,11.3333333333,1.4666666667,5.3333333333
58.6726666667,20.4,11.2,1.6666666667,7.5333333333
64.4866666667,18.4,10.0666666667,1.8666666667,6.4666666667
58.4473333333,17.3333333333,9.4,1.2,6.7333333333
57.6346666667,16.0666666667,9.0666666667,1.3333333333,5.6666666667
63.318,20.4,11.4666666667,1.4666666667,7.4666666667
61.2606666667,18.5333333333,11.6,1.4,5.5333333333
58.67375,17.125,9.4375,1.125,6.5625
61.57625,18.625,11.8125,1.5625,5.25
57.860625,18.6875,11.25,1.6875,5.75
63.70875,20.5,11.5,1.4375,7.5625
66.8464705882,19.9411764706,12.3529411765,1.1176470588,6.4705882353
57.77,16.0588235294,9.0588235294,1.2941176471,5.7058823529
58.3788235294,18.7647058824,11,1.6470588235,6.1176470588
62.6076470588,17.8235294118,11.8235294118,1.4117647059,4.5882352941
63.9682352941,18.4705882353,10.5882352941,1.6470588235,6.2352941176
58.1716666667,16.2222222222,9.2777777778,1.2222222222,5.7222222222
69.1394444444,21.7777777778,14.2777777778,0.9444444444,6.5555555556
38.89,14,9,0,5
66.67,26,13,5,8
60.61,20,12,2,6
58.06,13,8,3,2
66.67,18,10,3,5
47.22,15,10,1,4
69.44,29,15,2,12
45.45,13,5,5,3
61.11,19,11,0,8
66.67,27,15,1,11
67.44,20,14,4,2
62.22,21,17,2,2
67.86,27,12,2,13
52.83,19,12,2,5
70.59,22,15,4,3
50,17,11,1,5
69.05,26,17.5,3.5,5
63.4,17.5,9.5,2.5,5.5
56.69,20.5,12,2.5,6
63.335,19.5,15,2,2.5
50.83,12.5,7.5,1,4
67.675,23.5,14,1.5,8
59.535,23.5,12.5,2,9
59.485,21,11.5,1,8.5
57.14,18.5,11.5,1,6
67.275,13.5,9,2,2.5
66.26,21.5,8,1.5,12
66.79,20,13,3.5,3.5
60.805,16,9,0.5,6.5
72.36,16.5,11.5,1,4
64.49,18.3333333333,9.6666666667,2,6.6666666667
58.5366666667,18,11.6666666667,1.3333333333,5
66.2233333333,21.6666666667,15.3333333333,3,3.3333333333
53.8866666667,14.3333333333,8.6666666667,1,4.6666666667
41.3333333333,10,3.3333333333,2.3333333333,4.3333333333
64.0733333333,21.6666666667,11.3333333333,0.6666666667,9.6666666667
58.2733333333,21,10.6666666667,2,8.3333333333
69.9266666667,23.6666666667,15.3333333333,1.3333333333,7
59.6633333333,18.3333333333,11,1.6666666667,5.6666666667
69.1233333333,19.3333333333,14.6666666667,1,3.6666666667
63.8966666667,13.3333333333,8.3333333333,2.3333333333,2.6666666667
67.3766666667,16.6666666667,11.3333333333,1.3333333333,4
63.1,18,11.6666666667,2,4.3333333333
67.2133333333,20.3333333333,10.6666666667,2.6666666667,7
50.165,16.5,8.5,2,6
