Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
OAK,2014,5,-31.20%,-31.10%,6.70%,6.70%,4.60%,4.60%
TB,2014,5,-26.30%,-26.00%,7.80%,7.90%,-6.00%,-6.00%
JAC,2014,5,-35.50%,-35.70%,12.80%,13.10%,-1.00%,-0.90%
DEN,2014,6,21.50%,21.20%,-16.50%,-16.60%,0.70%,0.80%
BAL,2014,6,18.20%,18.50%,-7.00%,-6.90%,2.90%,3.10%
SEA,2014,6,12.10%,11.60%,-9.30%,-9.40%,5.40%,5.60%
GB,2014,6,18.60%,18.80%,-3.10%,-3.20%,2.20%,2.10%
CIN,2014,6,14.30%,14.20%,-2.60%,-2.10%,1.10%,1.20%
PHI,2014,6,-4.00%,-4.00%,-6.40%,-6.20%,11.50%,11.70%
DET,2014,6,-5.70%,-5.90%,-28.60%,-28.70%,-9.90%,-9.90%
SD,2014,6,14.10%,14.40%,2.60%,2.40%,1.30%,1.30%
CLE,2014,6,20.70%,20.80%,10.40%,10.20%,1.30%,1.30%
DAL,2014,6,13.20%,13.40%,0.10%,0.00%,-1.50%,-1.60%
NE,2014,6,-1.30%,-1.20%,-6.90%,-6.60%,3.80%,3.80%
ATL,2014,6,14.10%,14.10%,16.00%,16.10%,9.40%,9.50%
IND,2014,6,6.00%,6.20%,3.90%,3.70%,4.50%,4.60%
KC,2014,6,5.10%,5.50%,0.50%,0.00%,1.40%,1.50%
SF,2014,6,-0.50%,-0.50%,-11.80%,-11.90%,-5.50%,-5.70%
CHI,2014,6,3.90%,3.70%,-7.10%,-7.10%,-6.30%,-6.30%
MIA,2014,6,-0.10%,-0.20%,-10.00%,-10.00%,-8.80%,-8.60%
BUF,2014,6,-14.70%,-15.10%,-8.00%,-8.10%,6.90%,6.70%
ARI,2014,6,-11.90%,-12.00%,-8.90%,-8.50%,2.80%,2.70%
PIT,2014,6,3.10%,3.10%,6.00%,6.00%,1.30%,1.30%
NYG,2014,6,-4.60%,-4.30%,-4.10%,-4.30%,-2.40%,-2.20%
CAR,2014,6,7.30%,7.30%,10.00%,10.60%,-1.60%,-1.60%
WAS,2014,6,-0.20%,-0.40%,0.30%,0.80%,-8.30%,-8.30%
