Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
BUF,1991,5,31.80%,31.40%,3.30%,3.00%,-10.00%,-9.90%
HOU,1991,5,12.50%,12.40%,1.50%,1.60%,2.30%,2.20%
SF,1991,5,15.50%,15.60%,-3.10%,-3.10%,-5.50%,-5.50%
CLE,1991,5,-7.60%,-8.10%,-15.10%,-15.60%,4.60%,4.70%
CHI,1991,5,10.20%,10.00%,-0.90%,-0.60%,0.50%,0.60%
NYG,1991,5,9.30%,9.40%,-0.70%,-0.70%,-0.90%,-1.00%
PIT,1991,5,2.10%,2.40%,6.50%,6.60%,9.90%,9.80%
SEA,1991,5,-4.20%,-4.20%,-10.40%,-10.40%,-1.10%,-1.00%
DAL,1991,5,23.90%,23.70%,21.30%,21.10%,0.60%,0.60%
NYJ,1991,5,9.40%,9.30%,7.60%,7.60%,-4.30%,-4.40%
DET,1991,5,5.10%,5.50%,7.00%,6.60%,-2.50%,-2.30%
OAK,1991,5,-9.90%,-9.70%,1.40%,1.10%,4.50%,4.60%
SD,1991,5,-2.50%,-2.40%,3.60%,3.70%,-4.40%,-4.40%
MIA,1991,5,9.10%,8.70%,19.40%,19.00%,-1.30%,-1.30%
STL,1991,5,-7.80%,-8.20%,13.10%,13.20%,6.60%,6.70%
ATL,1991,5,-11.80%,-11.50%,1.60%,1.80%,-4.90%,-5.00%
TB,1991,5,-16.20%,-16.30%,-5.40%,-5.50%,-10.40%,-10.30%
MIN,1991,5,-14.90%,-14.70%,7.20%,7.20%,-0.90%,-0.80%
CIN,1991,5,2.60%,2.90%,20.80%,20.40%,-5.30%,-5.40%
GB,1991,5,-21.30%,-21.10%,2.90%,3.00%,-1.00%,-1.20%
ARI,1991,5,-13.40%,-13.50%,7.30%,7.10%,-6.00%,-6.10%
NE,1991,5,-30.20%,-30.40%,5.20%,5.30%,0.50%,0.50%
IND,1991,5,-27.20%,-27.20%,10.90%,10.90%,-6.50%,-6.30%
WAS,1991,6,16.80%,16.50%,-31.10%,-31.30%,15.80%,15.70%
NO,1991,6,-5.40%,-5.50%,-35.70%,-36.30%,3.60%,3.60%
KC,1991,6,18.10%,18.30%,-11.20%,-11.10%,0.20%,0.20%
HOU,1991,6,17.80%,17.70%,-1.20%,-1.20%,-1.10%,-1.20%
PHI,1991,6,-30.30%,-30.00%,-41.60%,-41.60%,4.30%,4.30%
NYG,1991,6,16.00%,16.30%,0.40%,0.50%,-1.70%,-1.80%
SF,1991,6,15.40%,15.40%,-2.90%,-2.70%,-5.50%,-5.50%
BUF,1991,6,26.00%,25.40%,7.20%,7.10%,-6.60%,-6.40%
CHI,1991,6,6.70%,6.60%,-4.50%,-4.40%,-1.30%,-1.20%
CLE,1991,6,-2.50%,-2.90%,-6.80%,-6.70%,4.00%,4.00%
DEN,1991,6,13.20%,12.70%,-3.60%,-3.40%,-9.80%,-9.70%
PIT,1991,6,0.90%,1.30%,4.10%,4.00%,9.40%,9.40%
SEA,1991,6,-9.10%,-9.20%,-13.70%,-13.50%,0.30%,0.30%
NYJ,1991,6,15.00%,15.30%,10.30%,10.40%,-4.20%,-4.20%
DAL,1991,6,23.20%,22.80%,18.50%,18.40%,-5.60%,-5.70%
DET,1991,6,9.00%,9.10%,7.90%,7.50%,-3.30%,-3.30%
MIA,1991,6,9.70%,9.50%,11.40%,11.20%,-1.10%,-1.10%
SD,1991,6,0.70%,0.80%,3.80%,3.80%,-2.40%,-2.30%
OAK,1991,6,-8.20%,-8.20%,3.30%,3.10%,3.50%,3.60%
STL,1991,6,-8.70%,-9.00%,12.40%,12.70%,6.60%,6.60%
ATL,1991,6,-10.90%,-11.10%,1.30%,1.20%,-4.90%,-5.00%
TB,1991,6,-18.80%,-18.90%,-11.10%,-11.30%,-10.90%,-10.90%
GB,1991,6,-19.70%,-19.70%,4.00%,3.80%,4.60%,4.70%
CIN,1991,6,-1.80%,-1.70%,13.20%,12.70%,-6.50%,-6.60%
MIN,1991,6,-12.90%,-13.00%,10.10%,9.80%,1.30%,1.40%
ARI,1991,6,-9.60%,-9.80%,16.20%,16.50%,-3.50%,-3.50%
NE,1991,6,-35.20%,-35.10%,7.40%,7.50%,0.50%,0.60%
IND,1991,6,-29.30%,-29.40%,10.80%,10.80%,-7.50%,-7.50%
WAS,1991,7,21.50%,21.40%,-26.10%,-25.90%,14.10%,14.10%
NO,1991,7,-9.00%,-9.20%,-49.00%,-49.60%,2.00%,2.00%
KC,1991,7,26.10%,26.40%,-10.70%,-10.70%,0.80%,0.80%
BUF,1991,7,28.70%,28.30%,3.80%,3.70%,-6.00%,-5.90%
HOU,1991,7,16.20%,16.10%,-2.90%,-3.00%,-3.10%,-3.20%
CHI,1991,7,5.90%,5.70%,-7.40%,-7.40%,-1.30%,-1.30%
NYG,1991,7,13.40%,13.70%,2.50%,2.70%,0.30%,0.30%
PHI,1991,7,-39.50%,-39.60%,-42.80%,-42.40%,5.10%,5.20%
PIT,1991,7,4.00%,4.40%,4.90%,5.00%,8.60%,8.50%
DEN,1991,7,11.90%,11.40%,-4.10%,-4.00%,-9.80%,-9.70%
SF,1991,7,15.30%,15.40%,2.40%,2.60%,-8.30%,-8.30%
NYJ,1991,7,12.50%,12.90%,7.00%,7.00%,-2.10%,-2.10%
DAL,1991,7,20.40%,20.50%,14.30%,14.10%,-4.10%,-4.20%
OAK,1991,7,-6.70%,-6.70%,-3.20%,-3.50%,4.90%,5.00%
CLE,1991,7,-0.70%,-0.80%,0.30%,0.60%,2.30%,2.30%
ATL,1991,7,1.00%,1.00%,-1.00%,-1.10%,-1.00%,-0.90%
SEA,1991,7,-12.90%,-13.10%,-10.40%,-10.20%,0.50%,0.60%
DET,1991,7,6.60%,6.80%,6.10%,5.70%,-3.30%,-3.30%
SD,1991,7,4.10%,4.30%,5.10%,5.10%,-2.10%,-2.00%
MIA,1991,7,8.30%,8.20%,18.80%,18.80%,-0.80%,-0.80%
MIN,1991,7,-5.80%,-5.90%,7.30%,7.00%,0.90%,1.00%
STL,1991,7,-2.90%,-2.80%,16.60%,17.00%,6.20%,6.20%
TB,1991,7,-18.80%,-19.00%,-11.20%,-11.40%,-10.90%,-10.90%
GB,1991,7,-21.80%,-22.00%,4.00%,3.70%,4.60%,4.70%
CIN,1991,7,-7.90%,-7.80%,10.80%,10.60%,-4.50%,-4.60%
ARI,1991,7,-13.40%,-13.20%,20.60%,20.90%,-3.50%,-3.60%
NE,1991,7,-40.40%,-40.20%,6.80%,6.90%,0.50%,0.80%
IND,1991,7,-32.00%,-32.10%,16.40%,16.60%,-6.00%,-6.00%
WAS,1991,8,21.90%,21.70%,-26.80%,-27.00%,14.10%,14.00%
NO,1991,8,-7.70%,-7.70%,-44.90%,-45.10%,1.20%,1.20%
KC,1991,8,22.60%,22.50%,-9.50%,-9.60%,2.30%,2.30%
BUF,1991,8,29.70%,29.60%,6.10%,6.20%,-4.50%,-4.40%
HOU,1991,8,10.40%,10.30%,-8.60%,-8.90%,-2.50%,-2.70%
DEN,1991,8,13.20%,12.80%,-9.70%,-9.60%,-8.60%,-8.50%
CHI,1991,8,4.80%,4.60%,-11.50%,-11.70%,-2.40%,-2.50%
SF,1991,8,20.10%,20.20%,-0.10%,0.20%,-7.40%,-7.30%
NYG,1991,8,14.10%,14.40%,1.60%,2.10%,0.30%,0.30%
PHI,1991,8,-39.20%,-39.80%,-42.60%,-42.60%,5.10%,5.10%
CLE,1991,8,2.80%,3.10%,-2.00%,-1.60%,0.10%,0.00%
SEA,1991,8,-8.90%,-9.10%,-12.50%,-12.70%,0.50%,0.60%
DAL,1991,8,22.20%,22.30%,14.40%,14.30%,-4.10%,-4.20%
OAK,1991,8,-4.30%,-4.10%,-1.90%,-2.10%,3.50%,3.60%
NYJ,1991,8,11.10%,11.30%,8.50%,8.50%,-1.40%,-1.30%
ATL,1991,8,-6.30%,-6.30%,-3.00%,-2.90%,-0.50%,-0.40%
SD,1991,8,4.50%,4.70%,8.20%,8.30%,-0.10%,-0.10%
PIT,1991,8,-3.80%,-4.00%,7.00%,6.90%,6.60%,6.50%
STL,1991,8,0.00%,0.30%,14.30%,14.40%,5.70%,5.70%
MIA,1991,8,2.40%,2.40%,13.70%,13.70%,-0.50%,-0.60%
MIN,1991,8,-1.60%,-1.30%,10.90%,10.90%,0.40%,0.40%
DET,1991,8,3.80%,3.80%,14.60%,14.40%,-2.30%,-2.10%
CIN,1991,8,-3.00%,-3.20%,10.10%,9.90%,-2.50%,-2.40%
TB,1991,8,-20.20%,-20.40%,-9.10%,-9.10%,-8.30%,-8.40%
GB,1991,8,-24.80%,-24.80%,2.90%,2.70%,4.80%,4.90%
ARI,1991,8,-15.00%,-14.90%,13.90%,14.00%,-1.70%,-1.70%
NE,1991,8,-31.60%,-31.50%,11.50%,11.70%,-1.00%,-0.80%
IND,1991,8,-31.40%,-31.60%,15.00%,15.00%,-5.80%,-5.70%
WAS,1991,9,22.30%,21.50%,-23.20%,-21.80%,13.20%,12.80%
KC,1991,9,20.30%,20.90%,-10.90%,-10.20%,1.90%,2.20%
NO,1991,9,-9.00%,-8.80%,-39.80%,-41.40%,1.40%,1.20%
HOU,1991,9,12.50%,11.90%,-12.20%,-12.50%,-3.70%,-4.20%
SF,1991,9,21.20%,21.80%,-0.60%,-0.10%,-3.20%,-3.00%
BUF,1991,9,30.70%,29.30%,7.60%,6.80%,-4.50%,-3.90%
CHI,1991,9,7.50%,7.00%,-12.00%,-11.60%,-1.10%,-1.00%
NYG,1991,9,13.30%,13.70%,0.70%,1.30%,0.30%,0.20%
DEN,1991,9,13.30%,11.10%,-3.90%,-3.00%,-8.40%,-8.00%
CLE,1991,9,5.40%,4.70%,-1.20%,-1.40%,-0.60%,-0.60%
PHI,1991,9,-37.80%,-38.60%,-37.70%,-37.10%,2.20%,2.30%
OAK,1991,9,-6.20%,-5.70%,-4.50%,-5.70%,3.30%,3.60%
NYJ,1991,9,12.10%,11.70%,9.30%,9.10%,-1.40%,-1.40%
SEA,1991,9,-10.40%,-11.60%,-9.30%,-9.30%,2.50%,2.80%
ATL,1991,9,-1.50%,-0.10%,-1.00%,0.20%,0.10%,0.20%
MIN,1991,9,3.80%,5.10%,5.40%,5.30%,0.50%,0.70%
SD,1991,9,4.30%,5.00%,5.60%,6.20%,-1.40%,-1.30%
DAL,1991,9,15.90%,15.00%,14.80%,13.80%,-5.00%,-5.40%
PIT,1991,9,-3.70%,-3.30%,9.70%,10.20%,5.80%,5.30%
DET,1991,9,4.00%,5.20%,11.60%,10.60%,-0.40%,0.20%
